,Beer,Combined_Rating,Review
0,Breakfast Stout,4.4,
1,Breakfast Stout,4.25,
2,Breakfast Stout,4.94,Amazing taste for a dark stout beer!
3,Breakfast Stout,5.0,"Well, well, well, well, well. Stout lovers of the world, unite and take over."
4,Breakfast Stout,4.2,"Had on tap at Bulldog Saloon Lynnwood, WA."
5,Breakfast Stout,3.61,"I'm rating this based off of the Kentucky Breakfast Stout drop, BeerAdvocate says it's retired but I just grabbed a pack of them last week. It is SARCASTICALLY chocolate, perfect amount of coffee in my personal opinion, but the chocolate is objectively overwhelming. I love this whenever I'm really in the mood for something rich, but any other time it's a bit much. Great specialty beer."
6,Breakfast Stout,3.84,"Almost pure black with a small tan head. The bubbles dissipate pretty fast, leaving just a few smaller ones and some lacing.

Very strong coffee smell. There is a hint of chocolate, helping to balance things a bit

Not surprisingly, there is a strong coffee note up front, then the chocolate sweetness kicks in. There is a lingering bitterness at the finish.

It is a bit thinner than expected, mostly carbonation on the tongue.

I can see how this is the base for the KBS beers, it is pretty solid. With so much coffee flavor, I'd consider this a dessert beer. It's good, but I definitely prefer the KBS variants."
7,Breakfast Stout,4.78,
8,Breakfast Stout,4.37,
9,Breakfast Stout,5.0,
10,Breakfast Stout,4.53,
11,Breakfast Stout,4.0,"Pours a great thick black with a nice head that does hang around throughout the drink, smells of coffee with a slight sweetness... black coffee with one sugar. has a medium mouth feel, tastes of bitter coffee, maybe over roasted coffee but does give off a good feeling of a nice early morning cup of joe"
12,Breakfast Stout,4.49,"12 ounce bottle, poured after warming for 30 minutes, into a Founders snifter.
Dark mud coffee black, fine dense brown head that recedes slowly.
Aroma of Italian roast ground coffee beans and cafe Cubano. A chocolate note too.
Wickedly tasty, leads right off with the coffee. Then char and dark chocolate run around like a marble in the mouth. Finishes mildly sweet, then slightly bitter and dry. 
Oats delivers a fine creamy smoothness. Medium carbonation.
Overall, a beautiful expression of brewing creativity and truly an ‘anytime’ treat."
13,Breakfast Stout,4.4,
14,Breakfast Stout,2.73,"I love coffee. I love stouts. I love oatmeal stouts. I usually love coffee stouts. Given all that, I expected to love the #2 oatmeal stout in the world according to the current ranking. Unfortunately, I didn’t. The coffee smell is above average, but the taste is overly bitter and mostly just reminds me of bad coffee that was roasted far too long. This one is not for me."
15,Breakfast Stout,4.29,
16,Breakfast Stout,4.5,
17,Breakfast Stout,4.19,
